step,b1_x,b1_y,b2_x,b2_y,b3_x,b3_y
187,-0.508861,0.86613,-1.76337,0.32026,1.33223,-0.18639
188,-0.524538,0.864655,-1.78896,0.325509,1.3685,-0.190164
189,-0.540244,0.86315,-1.81449,0.330777,1.40474,-0.193927
190,-0.555981,0.861614,-1.83997,0.336064,1.44095,-0.197678
191,-0.571749,0.86005,-1.86539,0.341369,1.47714,-0.201419
192,-0.587548,0.858458,-1.89075,0.346692,1.5133,-0.205149
193,-0.603378,0.856839,-1.91606,0.352032,1.54944,-0.20887
194,-0.61924,0.855194,-1.94131,0.357389,1.58555,-0.212582
195,-0.635134,0.853524,-1.96651,0.362762,1.62164,-0.216286
196,-0.65106,0.85183,-1.99165,0.368151,1.65771,-0.219981
197,-0.667019,0.850113,-2.01674,0.373556,1.69376,-0.223669
198,-0.683009,0.848374,-2.04177,0.378976,1.72978,-0.22735
199,-0.699033,0.846613,-2.06676,0.384411,1.76579,-0.231024
200,-0.715089,0.844831,-2.09169,0.38986,1.80178,-0.234691
201,-0.731178,0.843029,-2.11657,0.395322,1.83775,-0.238351
202,-0.7473,0.841207,-2.1414,0.400799,1.8737,-0.242006
203,-0.763455,0.839367,-2.16618,0.406288,1.90963,-0.245655
204,-0.779644,0.837508,-2.1909,0.411791,1.94555,-0.249299
205,-0.795866,0.835632,-2.21558,0.417305,1.98145,-0.252937
206,-0.812121,0.833739,-2.24021,0.422832,2.01733,-0.256571
207,-0.828409,0.831829,-2.26479,0.428371,2.0532,-0.2602
208,-0.844731,0.829904,-2.28932,0.43392,2.08906,-0.263824
209,-0.861086,0.827963,-2.31381,0.439481,2.12489,-0.267444
210,-0.877475,0.826007,-2.33824,0.445052,2.16072,-0.271059
211,-0.893897,0.824037,-2.36263,0.450634,2.19653,-0.274671
212,-0.910353,0.822053,-2.38698,0.456226,2.23233,-0.278279
213,-0.926842,0.820056,-2.41127,0.461827,2.26811,-0.281883
214,-0.943364,0.818045,-2.43552,0.467438,2.30389,-0.285483
215,-0.95992,0.816023,-2.45973,0.473057,2.33965,-0.28908
216,-0.976509,0.813988,-2.48388,0.478686,2.37539,-0.292674
217,-0.993132,0.811942,-2.508,0.484323,2.41113,-0.296265
218,-1.00979,0.809884,-2.53207,0.489968,2.44686,-0.299852
219,-1.02648,0.807816,-2.55609,0.495621,2.48257,-0.303437
220,-1.0432,0.805737,-2.58007,0.501282,2.51827,-0.307019
221,-1.05995,0.803648,-2.60401,0.50695,2.55396,-0.310598
222,-1.07674,0.80155,-2.6279,0.512625,2.58965,-0.314174
223,-1.09356,0.799442,-2.65175,0.518306,2.62532,-0.317748
224,-1.11042,0.797325,-2.67556,0.523995,2.66098,-0.32132
225,-1.1273,0.795199,-2.69933,0.529689,2.69663,-0.324889
226,-1.14422,0.793066,-2.72305,0.53539,2.73228,-0.328456
227,-1.16118,0.790924,-2.74673,0.541096,2.76791,-0.33202
228,-1.17816,0.788774,-2.77037,0.546808,2.80354,-0.335583
229,-1.19518,0.786617,-2.79397,0.552526,2.83915,-0.339143
230,-1.21223,0.784453,-2.81753,0.558248,2.87476,-0.342701
231,-1.22931,0.782282,-2.84105,0.563975,2.91036,-0.346258
232,-1.24643,0.780105,-2.86452,0.569707,2.94595,-0.349812
233,-1.26357,0.777922,-2.88796,0.575443,2.98153,-0.353365
234,-1.28075,0.775732,-2.91136,0.581183,3.01711,-0.356916
235,-1.29796,0.773537,-2.93472,0.586928,3.05268,-0.360465
236,-1.3152,0.771337,-2.95803,0.592676,3.08824,-0.364012
237,-1.33248,0.769131,-2.98131,0.598427,3.12379,-0.367558
238,-1.34978,0.76692,-3.00455,0.604182,3.15934,-0.371102
239,-1.36712,0.764705,-3.02776,0.60994,3.19488,-0.374645
240,-1.38449,0.762485,-3.05092,0.615701,3.23041,-0.378187
241,-1.40189,0.760261,-3.07405,0.621465,3.26593,-0.381726
242,-1.41932,0.758033,-3.09713,0.627232,3.30145,-0.385265
243,-1.43678,0.755802,-3.12018,0.633,3.33697,-0.388802
244,-1.45428,0.753566,-3.1432,0.638771,3.37247,-0.392337
245,-1.4718,0.751328,-3.16617,0.644544,3.40797,-0.395872
246,-1.48935,0.749086,-3.18911,0.650319,3.44346,-0.399405
247,-1.50694,0.746842,-3.21201,0.656095,3.47895,-0.402937
248,-1.52456,0.744595,-3.23488,0.661873,3.51443,-0.406468
249,-1.5422,0.742345,-3.25771,0.667652,3.54991,-0.409997
250,-1.55988,0.740093,-3.2805,0.673432,3.58538,-0.413526
251,-1.57759,0.737839,-3.30326,0.679214,3.62085,-0.417053
252,-1.59532,0.735583,-3.32598,0.684996,3.6563,-0.420579
253,-1.61309,0.733326,-3.34867,0.690779,3.69176,-0.424104
254,-1.63089,0.731067,-3.37132,0.696562,3.72721,-0.427628
255,-1.64871,0.728806,-3.39394,0.702346,3.76265,-0.431152
256,-1.66657,0.726544,-3.41652,0.708129,3.79809,-0.434674
257,-1.68445,0.724282,-3.43907,0.713913,3.83352,-0.438195
258,-1.70237,0.722018,-3.46158,0.719697,3.86895,-0.441715
259,-1.72031,0.719754,-3.48406,0.725481,3.90438,-0.445234
260,-1.73829,0.717489,-3.50651,0.731264,3.93979,-0.448753
261,-1.75629,0.715224,-3.52892,0.737046,3.97521,-0.45227
262,-1.77432,0.712959,-3.5513,0.742828,4.01062,-0.455787
263,-1.79238,0.710693,-3.57364,0.74861,4.04602,-0.459303
264,-1.81047,0.708428,-3.59596,0.75439,4.08143,-0.462818
265,-1.82859,0.706163,-3.61823,0.760169,4.11682,-0.466332
266,-1.84673,0.703899,-3.64048,0.765947,4.15221,-0.469846
267,-1.86491,0.701635,-3.66269,0.771724,4.1876,-0.473358
268,-1.88311,0.699372,-3.68487,0.777499,4.22299,-0.47687
269,-1.90134,0.697109,-3.70702,0.783272,4.25837,-0.480382
270,-1.9196,0.694848,-3.72914,0.789044,4.29374,-0.483892
271,-1.93789,0.692587,-3.75123,0.794814,4.32911,-0.487402
272,-1.9562,0.690328,-3.77328,0.800583,4.36448,-0.490911
273,-1.97455,0.688071,-3.7953,0.806349,4.39985,-0.494419
274,-1.99292,0.685815,-3.81729,0.812113,4.43521,-0.497927
275,-2.01132,0.68356,-3.83925,0.817874,4.47056,-0.501434
276,-2.02974,0.681307,-3.86118,0.823634,4.50592,-0.504941
277,-2.04819,0.679056,-3.88307,0.82939,4.54127,-0.508447
278,-2.06667,0.676808,-3.90494,0.835144,4.57661,-0.511952
279,-2.08518,0.674561,-3.92677,0.840896,4.61195,-0.515457
280,-2.10371,0.672316,-3.94858,0.846644,4.64729,-0.518961
281,-2.12227,0.670074,-3.97035,0.85239,4.68263,-0.522464
282,-2.14086,0.667835,-3.9921,0.858132,4.71796,-0.525967
283,-2.15948,0.665598,-4.01381,0.863872,4.75329,-0.529469
284,-2.17812,0.663363,-4.0355,0.869608,4.78862,-0.532971
285,-2.19678,0.661132,-4.05715,0.875341,4.82394,-0.536473
286,-2.21548,0.658903,-4.07878,0.88107,4.85926,-0.539973
287,-2.2342,0.656678,-4.10037,0.886796,4.89457,-0.543474
288,-2.25294,0.654455,-4.12194,0.892518,4.92989,-0.546973
289,-2.27172,0.652236,-4.14348,0.898236,4.9652,-0.550473
290,-2.29052,0.650021,-4.16499,0.903951,5.0005,-0.553971
291,-2.30934,0.647808,-4.18647,0.909661,5.03581,-0.55747
292,-2.32819,0.6456,-4.20792,0.915368,5.07111,-0.560967
293,-2.34706,0.643394,-4.22934,0.92107,5.10641,-0.564465
294,-2.36597,0.641193,-4.25074,0.926769,5.1417,-0.567962
295,-2.38489,0.638996,-4.2721,0.932462,5.17699,-0.571458
296,-2.40384,0.636802,-4.29344,0.938152,5.21228,-0.574954
297,-2.42282,0.634612,-4.31475,0.943837,5.24757,-0.57845
298,-2.44183,0.632427,-4.33603,0.949518,5.28286,-0.581945
299,-2.46085,0.630246,-4.35728,0.955194,5.31814,-0.585439
300,-2.47991,0.628069,-4.37851,0.960865,5.35342,-0.588934
301,-2.49898,0.625897,-4.39971,0.966531,5.38869,-0.592428
302,-2.51809,0.623729,-4.42088,0.972192,5.42397,-0.595921
303,-2.53721,0.621565,-4.44203,0.977849,5.45924,-0.599414
304,-2.55637,0.619406,-4.46314,0.9835,5.49451,-0.602907
305,-2.57554,0.617253,-4.48423,0.989147,5.52977,-0.606399
306,-2.59474,0.615103,-4.5053,0.994788,5.56504,-0.609891
307,-2.61397,0.612959,-4.52633,1.00042,5.6003,-0.613383
308,-2.63322,0.61082,-4.54734,1.00605,5.63556,-0.616874
309,-2.65249,0.608686,-4.56832,1.01168,5.67082,-0.620365
310,-2.67179,0.606557,-4.58928,1.0173,5.70607,-0.623855
311,-2.69111,0.604433,-4.61021,1.02291,5.74132,-0.627346
312,-2.71046,0.602315,-4.63111,1.02852,5.77657,-0.630835
313,-2.72983,0.600202,-4.65199,1.03412,5.81182,-0.634325
314,-2.74922,0.598094,-4.67284,1.03972,5.84707,-0.637814
315,-2.76864,0.595992,-4.69367,1.04531,5.88231,-0.641303
316,-2.78808,0.593896,-4.71447,1.0509,5.91755,-0.644791
317,-2.80755,0.591805,-4.73525,1.05647,5.95279,-0.648279
318,-2.82703,0.58972,-4.75599,1.06205,5.98803,-0.651767
319,-2.84655,0.587641,-4.77672,1.06761,6.02326,-0.655255
320,-2.86608,0.585568,-4.79742,1.07317,6.0585,-0.658742
321,-2.88564,0.583501,-4.81809,1.07873,6.09373,-0.662229
322,-2.90522,0.58144,-4.83874,1.08428,6.12896,-0.665716
323,-2.92482,0.579385,-4.85936,1.08982,6.16418,-0.669202
324,-2.94445,0.577337,-4.87996,1.09535,6.19941,-0.672688
325,-2.9641,0.575294,-4.90053,1.10088,6.23463,-0.676174
326,-2.98378,0.573258,-4.92108,1.1064,6.26985,-0.679659
327,-3.00347,0.571229,-4.9416,1.11192,6.30507,-0.683145
328,-3.02319,0.569206,-4.9621,1.11742,6.34029,-0.68663
329,-3.04293,0.567189,-4.98257,1.12293,6.3755,-0.690114
330,-3.06269,0.565179,-5.00302,1.12842,6.41072,-0.693599
331,-3.08248,0.563176,-5.02345,1.13391,6.44593,-0.697083
